id,family,name,category,vcpus,memory,ssd,hdd,cpu,accelerators,accelerator,embodied
amp2-c1,amp2,amp2-c1,general,1,"1,75",0,0,ampere-altra-m12830,0,,1
amp2-c12,amp2,amp2-c12,general,12,"23,75",0,0,ampere-altra-m12830,0,,1
amp2-c2,amp2,amp2-c2,general,2,"3,75",0,0,ampere-altra-m12830,0,,1
amp2-c24,amp2,amp2-c24,general,24,"47,75",0,0,ampere-altra-m12830,0,,1
amp2-c4,amp2,amp2-c4,general,4,"7,75",0,0,ampere-altra-m12830,0,,1
amp2-c48,amp2,amp2-c48,general,48,"95,75",0,0,ampere-altra-m12830,0,,1
amp2-c60,amp2,amp2-c60,general,60,"119,75",0,0,ampere-altra-m12830,0,,1
amp2-c8,amp2,amp2-c8,general,8,"15,75",0,0,ampere-altra-m12830,0,,1
arm64-128gb,arm64,arm64-128gb,general,64,128,0,0,cavium-thunderx-cn8890,0,,1
arm64-16gb,arm64,arm64-16gb,general,16,16,0,0,cavium-thunderx-cn8890,0,,1
arm64-2gb,arm64,arm64-2gb,general,4,2,0,0,cavium-thunderx-cn8890,0,,1
arm64-32gb,arm64,arm64-32gb,general,32,32,0,0,cavium-thunderx-cn8890,0,,1
arm64-4gb,arm64,arm64-4gb,general,6,4,0,0,cavium-thunderx-cn8890,0,,1
arm64-64gb,arm64,arm64-64gb,general,48,64,0,0,cavium-thunderx-cn8890,0,,1
arm64-8gb,arm64,arm64-8gb,general,8,8,0,0,cavium-thunderx-cn8890,0,,1
container-1024,container,container-1024,general,1,1,0,0,amd-epyc-7543,0,,1
container-128,container,container-128,general,1,"0,125",0,0,amd-epyc-7543,0,,1
container-2048,container,container-2048,general,1,2,0,0,amd-epyc-7543,0,,1
container-256,container,container-256,general,1,"0,25",0,0,amd-epyc-7543,0,,1
container-512,container,container-512,general,1,"0,5",0,0,amd-epyc-7543,0,,1
coparm1-16c-64g,coparm1,coparm1-16c-64g,general,16,64,0,0,ampere-altra-m12830,0,,1
coparm1-2c-8g,coparm1,coparm1-2c-8g,general,2,8,0,0,ampere-altra-m12830,0,,1
coparm1-32c-128g,coparm1,coparm1-32c-128g,general,32,128,0,0,ampere-altra-m12830,0,,1
coparm1-4c-16g,coparm1,coparm1-4c-16g,general,4,16,0,0,ampere-altra-m12830,0,,1
coparm1-8c-32g,coparm1,coparm1-8c-32g,general,8,32,0,0,ampere-altra-m12830,0,,1
dev1-l,dev1,dev1-l,general,4,8,0,0,amd-epyc-7281,0,,1
dev1-m,dev1,dev1-m,general,3,4,0,0,amd-epyc-7281,0,,1
dev1-s,dev1,dev1-s,general,2,2,0,0,amd-epyc-7281,0,,1
dev1-xl,dev1,dev1-xl,general,4,12,0,0,amd-epyc-7281,0,,1
em-a115x-ssd,em,em-a115x-ssd,general,4,32,2040,0,intel-xeon-e31220,0,,1
em-a215r-hdd,em,em-a215r-hdd,general,12,16,0,2000,amd-ryzen-3600,0,,1
em-a315x-ssd,em,em-a315x-ssd,general,8,64,2040,0,intel-xeon-e51410v2,0,,1
em-a410x-ssd,em,em-a410x-ssd,general,12,64,2040,0,intel-xeon-e51650,0,,1
em-a610r-nvme,em,em-a610r-nvme,general,12,32,2040,0,amd-ryzen-3600,0,,1
em-b111x-sata,em,em-b111x-sata,general,24,192,0,16000,intel-xeon-e52620,0,,1
em-b112x-ssd,em,em-b112x-ssd,general,24,192,2000,0,intel-xeon-e52620,0,,1
em-b211x-sata,em,em-b211x-sata,general,32,256,0,16000,intel-xeon-e52650,0,,1
em-b212x-ssd,em,em-b212x-ssd,general,32,256,2040,0,intel-xeon-e52650,0,,1
em-b220e-nvme,em,em-b220e-nvme,general,16,64,2040,0,amd-epyc-7232p,0,,1
em-b311x-sata,em,em-b311x-sata,general,40,256,0,24000,intel-xeon-e52670v2,0,,1
em-b312x-ssd,em,em-b312x-ssd,general,40,256,2000,0,intel-xeon-e52670v2,0,,1
em-b320e-nvme,em,em-b320e-nvme,general,16,128,4100,0,amd-epyc-7232p,0,,1
em-b420e-nvme,em,em-b420e-nvme,general,24,128,2040,0,amd-epyc-7272,0,,1
em-b520e-nvme,em,em-b520e-nvme,general,24,256,4100,0,amd-epyc-7272,0,,1
em-i120e-nvme,em,em-i120e-nvme,general,16,64,1920,0,amd-epyc-8024p,0,,1
em-i210e-nvme,em,em-i210e-nvme,general,32,128,3840,0,amd-epyc-7313p,0,,1
em-i215e-nvme,em,em-i215e-nvme,general,32,256,3840,0,amd-epyc-7313p,0,,1
em-i220e-nvme,em,em-i220e-nvme,general,32,128,1920,0,amd-epyc-8124p,0,,1
em-i320e-nvme,em,em-i320e-nvme,general,48,192,3840,0,amd-epyc-8224p,0,,1
em-i420e-nvme,em,em-i420e-nvme,general,64,256,3840,0,amd-epyc-8324p,0,,1
em-i520e-nvme,em,em-i520e-nvme,general,96,384,7680,0,amd-epyc-8434p,0,,1
em-i620e-nvme,em,em-i620e-nvme,general,128,576,7680,0,amd-epyc-8534p,0,,1
em-i525e-nvme,em,em-i525e-nvme,general,96,384,15360,0,amd-epyc-8434p,0,,1
em-l101x-sata,em,em-l101x-sata,general,8,96,0,12000,intel-xeon-e51410v2,0,,1
em-l105x-sata,em,em-l105x-sata,general,8,96,0,24000,intel-xeon-e51410v2,0,,1
em-l110x-sata,em,em-l110x-sata,general,8,96,0,48000,intel-xeon-e51410v2,0,,1
em-l220e-nvme,em,em-l220e-nvme,general,16,64,8200,0,amd-epyc-7232p,0,,1
em-l420e-nvme,em,em-l420e-nvme,general,24,128,16000,0,amd-epyc-7272,0,,1
em-t220e-l40s,em,em-t220e-l40s,general,64,256,7680,0,amd-epyc-9334,2,nvidia-tesla-l40s,1
em-t620e-h100,em,em-t620e-h100,general,64,512,15360,0,amd-epyc-9334,2,nvidia-tesla-h10080,1
ent1-2xl,ent1,ent1-2xl,general,96,384,0,0,amd-epyc-7543,0,,1
ent1-l,ent1,ent1-l,general,32,128,0,0,amd-epyc-7543,0,,1
ent1-m,ent1,ent1-m,general,16,64,0,0,amd-epyc-7543,0,,1
ent1-s,ent1,ent1-s,general,8,32,0,0,amd-epyc-7543,0,,1
ent1-xl,ent1,ent1-xl,general,64,256,0,0,amd-epyc-7543,0,,1
ent1-xs,ent1,ent1-xs,general,4,16,0,0,amd-epyc-7543,0,,1
ent1-xxs,ent1,ent1-xxs,general,2,8,0,0,amd-epyc-7543,0,,1
function-1024,function,function-1024,general,1,1,0,0,amd-epyc-7543,0,,1
function-128,function,function-128,general,1,"0,125",0,0,amd-epyc-7543,0,,1
function-2048,function,function-2048,general,1,2,0,0,amd-epyc-7543,0,,1
function-256,function,function-256,general,1,"0,25",0,0,amd-epyc-7543,0,,1
function-3072,function,function-3072,general,1,3,0,0,amd-epyc-7543,0,,1
function-4096,function,function-4096,general,1,4,0,0,amd-epyc-7543,0,,1
function-512,function,function-512,general,1,"0,5",0,0,amd-epyc-7543,0,,1
gp1-l,gp1,gp1-l,general,32,128,0,0,amd-epyc-7401p,0,,1
gp1-m,gp1,gp1-m,general,16,64,0,0,amd-epyc-7401p,0,,1
gp1-s,gp1,gp1-s,general,8,32,0,0,amd-epyc-7401p,0,,1
gp1-viz,gp1,gp1-viz,general,8,32,0,0,amd-epyc-7401p,0,,1
gp1-xl,gp1,gp1-xl,general,48,256,0,0,amd-epyc-7401p,0,,1
gp1-xs,gp1,gp1-xs,general,4,16,0,0,amd-epyc-7401p,0,,1
gpu-3070-s,gpu,gpu-3070-s,accelerated,8,16,0,0,amd-epyc-7543,1,nvidia-rtx-3070,1
h100-1-80g,h100,h100-1-80g,accelerated,24,240,0,0,amd-epyc-9334,1,nvidia-tesla-h10080,1
h100-1-m,h100,h100-1-m,accelerated,24,240,0,0,amd-epyc-9334,1,nvidia-tesla-h10080,1
h100-2-80g,h100,h100-2-80g,accelerated,48,480,0,0,amd-epyc-9334,2,nvidia-tesla-h10080,1
h100-2-m,h100,h100-2-m,accelerated,48,480,0,0,amd-epyc-9334,2,nvidia-tesla-h10080,1
l4-1-24g,l4,l4-1-24g,accelerated,8,48,0,0,amd-epyc-7413,1,nvidia-tesla-l4,1
l4-2-24g,l4,l4-2-24g,accelerated,16,96,0,0,amd-epyc-7413,2,nvidia-tesla-l4,1
l4-4-24g,l4,l4-4-24g,accelerated,32,192,0,0,amd-epyc-7413,4,nvidia-tesla-l4,1
l4-8-24g,l4,l4-8-24g,accelerated,64,384,0,0,amd-epyc-7413,8,nvidia-tesla-l4,1
l40s-1-48g,l40s,l40s-1-48g,accelerated,8,96,0,0,amd-epyc-7413,1,nvidia-tesla-l40s,1
l40s-2-48g,l40s,l40s-2-48g,accelerated,16,192,0,0,amd-epyc-7413,2,nvidia-tesla-l40s,1
l40s-4-48g,l40s,l40s-4-48g,accelerated,32,384,0,0,amd-epyc-7413,4,nvidia-tesla-l40s,1
l40s-8-48g,l40s,l40s-8-48g,accelerated,64,768,0,0,amd-epyc-7413,8,nvidia-tesla-l40s,1
play2-micro,play2,play2-micro,general,4,8,0,0,amd-epyc-7543,0,,1
play2-nano,play2,play2-nano,general,2,4,0,0,amd-epyc-7543,0,,1
play2-pico,play2,play2-pico,general,1,2,0,0,amd-epyc-7543,0,,1
pop2-16c-64g,pop2,pop2-16c-64g,general,16,64,0,0,amd-epyc-7543,0,,1
pop2-16c-64g-win,pop2,pop2-16c-64g-win,general,16,64,0,0,amd-epyc-7543,0,,1
pop2-2c-8g,pop2,pop2-2c-8g,general,2,8,0,0,amd-epyc-7543,0,,1
pop2-2c-8g-win,pop2,pop2-2c-8g-win,general,2,8,0,0,amd-epyc-7543,0,,1
pop2-32c-128g,pop2,pop2-32c-128g,general,32,128,0,0,amd-epyc-7543,0,,1
pop2-32c-128g-win,pop2,pop2-32c-128g-win,general,32,128,0,0,amd-epyc-7543,0,,1
pop2-4c-16g,pop2,pop2-4c-16g,general,4,16,0,0,amd-epyc-7543,0,,1
pop2-4c-16g-win,pop2,pop2-4c-16g-win,general,4,16,0,0,amd-epyc-7543,0,,1
pop2-64c-256g,pop2,pop2-64c-256g,general,64,256,0,0,amd-epyc-7543,0,,1
pop2-8c-32g,pop2,pop2-8c-32g,general,8,32,0,0,amd-epyc-7543,0,,1
pop2-8c-32g-win,pop2,pop2-8c-32g-win,general,8,32,0,0,amd-epyc-7543,0,,1
pop2-hc-16c-32g,pop2,pop2-hc-16c-32g,compute,16,32,0,0,amd-epyc-7543,0,,1
pop2-hc-2c-4g,pop2,pop2-hc-2c-4g,compute,2,4,0,0,amd-epyc-7543,0,,1
pop2-hc-32c-64g,pop2,pop2-hc-32c-64g,compute,32,64,0,0,amd-epyc-7543,0,,1
pop2-hc-4c-8g,pop2,pop2-hc-4c-8g,compute,4,8,0,0,amd-epyc-7543,0,,1
pop2-hc-64c-128g,pop2,pop2-hc-64c-128g,compute,64,128,0,0,amd-epyc-7543,0,,1
pop2-hc-8c-16g,pop2,pop2-hc-8c-16g,compute,8,16,0,0,amd-epyc-7543,0,,1
pop2-hm-16c-128g,pop2,pop2-hm-16c-128g,memory,16,128,0,0,amd-epyc-7543,0,,1
pop2-hm-2c-16g,pop2,pop2-hm-2c-16g,memory,2,16,0,0,amd-epyc-7543,0,,1
pop2-hm-32c-256g,pop2,pop2-hm-32c-256g,memory,32,256,0,0,amd-epyc-7543,0,,1
pop2-hm-4c-32g,pop2,pop2-hm-4c-32g,memory,4,32,0,0,amd-epyc-7543,0,,1
pop2-hm-64c-512g,pop2,pop2-hm-64c-512g,memory,64,512,0,0,amd-epyc-7543,0,,1
pop2-hm-8c-64g,pop2,pop2-hm-8c-64g,memory,8,64,0,0,amd-epyc-7543,0,,1
pro2-l,pro2,pro2-l,general,32,128,0,0,amd-epyc-7543,0,,1
pro2-m,pro2,pro2-m,general,16,64,0,0,amd-epyc-7543,0,,1
pro2-s,pro2,pro2-s,general,8,32,0,0,amd-epyc-7543,0,,1
pro2-xs,pro2,pro2-xs,general,4,16,0,0,amd-epyc-7543,0,,1
pro2-xxs,pro2,pro2-xxs,general,2,8,0,0,amd-epyc-7543,0,,1
render-s,render,render-s,accelerated,400,42,400,0,intel-xeon-6148,1,nvidia-tesla-p10016,1
stardust1-s,stardust1,stardust1-s,general,1,1,0,0,amd-epyc-7281,0,,1
start1-l,start1,start1-l,general,8,8,0,0,amd-epyc-7281,0,,1
start1-m,start1,start1-m,general,4,4,0,0,amd-epyc-7281,0,,1
start1-s,start1,start1-s,general,2,2,0,0,amd-epyc-7281,0,,1
start1-xs,start1,start1-xs,general,1,1,0,0,amd-epyc-7281,0,,1
vc1l,vc1,vc1l,general,6,8,0,0,amd-epyc-7281,0,,1
vc1m,vc1,vc1m,general,4,4,0,0,amd-epyc-7281,0,,1
vc1s,vc1,vc1s,general,2,2,0,0,amd-epyc-7281,0,,1
